star_mag,impacted_area,total_area,band,fa_x,fa_y
-0.799999999999998,1970022117.3050008,4006634500.0000024,r,0,0.026179938779914945
-1.1999999999999984,1656783432.0950007,4006634500.0000024,y,0,0.026179938779914945
-0.699999999999998,1454608655.2250009,4006634500.0000024,r,0,0.017453292519943295
-2.2999999999999994,3710900800.9205017,4006634500.0000024,u,0,0
-1.1999999999999984,3112834475.7400017,4006634500.0000024,g,0,0
-1.5999999999999988,1850343944.7900007,4006634500.0000024,y,0,0
-0.799999999999998,365561325.1455001,4006634500.0000024,z,0,0
-0.2999999999999976,89412055.50200003,4006634500.0000024,z,0,0.026179938779914945
-0.799999999999998,1866683000.2810009,4006634500.0000024,r,0,0.013089969389957472
-0.8999999999999981,1778456908.5910008,4006634500.0000024,i,0,0
-0.3999999999999977,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-0.8999999999999981,2100317871.245001,4006634500.0000024,r,0,0
-0.799999999999998,2349153913.5020013,4006634500.0000024,r,0,0.008726646259971648
-0.699999999999998,2238310370.059501,4006634500.0000024,g,0,0.026179938779914945
-0.699999999999998,389156395.7160002,4006634500.0000024,r,0,0.026179938779914945
-0.8999999999999981,2606728425.6035013,4006634500.0000024,r,0,0.02181661564992912
-0.5999999999999979,1454608655.2250009,4006634500.0000024,r,0,0.017453292519943295
-1.0999999999999983,1656783432.0950007,4006634500.0000024,y,0,0.026179938779914945
-0.1999999999999975,89412055.50200003,4006634500.0000024,z,0,0.026179938779914945
-0.699999999999998,365561325.1455001,4006634500.0000024,z,0,0
-2.099999999999999,3574863539.742002,4006634500.0000024,u,0,0.026179938779914945
-1.0999999999999983,3099977185.6295013,4006634500.0000024,g,0,0
-0.699999999999998,1866683000.2810009,4006634500.0000024,r,0,0.013089969389957472
-0.2999999999999976,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-0.699999999999998,2349153913.5020013,4006634500.0000024,r,0,0.008726646259971648
-0.799999999999998,1778456908.5910008,4006634500.0000024,i,0,0
-1.4999999999999987,1850343944.7900007,4006634500.0000024,y,0,0
-0.799999999999998,2100317871.245001,4006634500.0000024,r,0,0
-0.5999999999999979,2238310370.059501,4006634500.0000024,g,0,0.026179938779914945
-0.5999999999999979,389156395.7160002,4006634500.0000024,r,0,0.026179938779914945
-0.4999999999999978,1454608655.2250009,4006634500.0000024,r,0,0.017453292519943295
-0.799999999999998,2375761973.216501,4006634500.0000024,r,0,0.02181661564992912
-0.09999999999999742,89412055.50200003,4006634500.0000024,z,0,0.026179938779914945
-0.9999999999999982,366919574.24100024,4006634500.0000024,y,0,0.026179938779914945
-0.5999999999999979,365561325.1455001,4006634500.0000024,z,0,0
-0.1999999999999975,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-0.5999999999999979,1866683000.2810009,4006634500.0000024,r,0,0.013089969389957472
-0.9999999999999982,3099977185.6295013,4006634500.0000024,g,0,0
-0.5999999999999979,2349153913.5020013,4006634500.0000024,r,0,0.008726646259971648
-0.4999999999999978,2238310370.059501,4006634500.0000024,g,0,0.026179938779914945
-0.699999999999998,1778456908.5910008,4006634500.0000024,i,0,0
-0.699999999999998,1624417838.6040008,4006634500.0000024,r,0,0
-0.3999999999999977,1454608655.2250009,4006634500.0000024,r,0,0.017453292519943295
-0.4999999999999978,389156395.7160002,4006634500.0000024,r,0,0.026179938779914945
-2.1999999999999993,3678314842.5320015,4006634500.0000024,u,0,0
2.6645352591003757e-15,89412055.50200003,4006634500.0000024,z,0,0.026179938779914945
-0.699999999999998,1350604436.8740008,4006634500.0000024,r,0,0.02181661564992912
-1.3999999999999986,1850343944.7900007,4006634500.0000024,y,0,0
-0.09999999999999742,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-0.4999999999999978,365561325.1455001,4006634500.0000024,z,0,0
-0.4999999999999978,1583498080.4555008,4006634500.0000024,r,0,0.013089969389957472
-0.8999999999999981,366919574.24100024,4006634500.0000024,y,0,0.026179938779914945
0.10000000000000275,89412055.50200003,4006634500.0000024,z,0,0.026179938779914945
-0.4999999999999978,2349153913.5020013,4006634500.0000024,r,0,0.008726646259971648
